"VeeamServer","Path","FolderName","BackupName","BackupSizeGB","BackupType"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE04-NEW","UK1-FILE04","1943.6","Full Backup (Seed)"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE04-NEW","UK1-FILE04D2020","1367.5","Incremental Backup"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE05-NEW","UK1-FILE05","1936.17","Full Backup (Seed)"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE05-NEW","UK1-FILE05D2020","1654.22","Incremental Backup"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE07-NEW","UK1-FILE07","3196.12","Full Backup (Seed)"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE07-NEW","UK1-FILE07D2020","1278.62","Incremental Backup"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE09-NEW","UK1-FILE09","1202.71","Full Backup (Seed)"
"pano-veeam01","G$","Clarion File Servers - UK1-FILE09-NEW","UK1-FILE09D2020","1320.99","Incremental Backup"
"pano-veeam02","N$\Backups","Claion Chain 1 - Job 01 - Domain Controlers","Clarion Chain 1","112.93","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Claion Chain 1 - Job 01 - Domain Controlers","Clarion Chain 1","40.68","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1","375.55","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1 - Job 02 - ManagementD2020-10-24T201324.vbk","324.68","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1","88.83","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1 - Job 03 - LOBD2020-10-24T231946.vbk","627.56","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1","39.01","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1","13.2","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1","254.43","Reverse-Incremental Backup"
