"VeeamServer","Path","FolderName","BackupName","BackupSizeGB","BackupType"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1","85.06","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1 - Job 04 - Web SecurityD2020-10-24T203926.vbk","113.71","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","270.99","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","96.07","Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","2385.44","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1","165.8","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1","57.52","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1 - Job 14 - MailDB 2013D2020-10-24T201317.vbk","141.76","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1","233.19","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1","82.02","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1 - Job 15 - CAS 2013D2020-10-24T210735.vbk","119.05","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1","186.92","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1","87.32","Incremental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1 - Job 17 - RDSD2020-10-24T230048.vbk","240.25","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 33 - Business Apps","Clarion Chain 1","0.51","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 33 - Business Apps","Clarion Chain 1 - Job 33 - Business AppsD2020-11-01T230621.vbk","73.02","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","UK1-File12","22.87","Reverse-Incremental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","UK1-File12","1747.04","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 09 - Mail Hub","Clarion Chain 1","20.53","Reverse-Incremental Backup"
"pano-veeam02","Q$","Clarion Chain 1 - Job 09 - Mail Hub","Clarion Chain 1","6.91","Incremental"
"pano-veeam02","Q$","Clarion Chain 1 - Job 09 - Mail Hub","Clarion Chain 1 - Job 09 - Mail HubD2020-10-24T213446.vbk","82.01","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 13 - MailDB 2013","Clarion Chain 1","2410.25","Reverse-Incremental Backup"
"pano-veeam02","Q$","Clarion Chain 1 - Job 13 - MailDB 2013","Clarion Chain 1 - Job 13 - MailDB 2013D2020-11-01T221928.vbk","3587.49","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 38 - vCenter Appliance","Clarion Chain 1 - Job 38 - vCenter ApplianceD2020-10-10T030040.vbk","30.1","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 38 - vCenter Appliance","Clarion Chain 1","47.51","Incremental"
"pano-veeam02","Q$","Clarion Chain 1 - Job 40 - UK1-RDS Farm","UK1-RDS","1043.22","Reverse-Incremental Backup"
"pano-veeam02","Q$","Clarion Chain 1 - Job 40 - UK1-RDS Farm","UK1-RDS","713.11","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 40 - UK1-RDS Farm","UK1-RDS","355.27","Incremental Backup"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1","2485.16","Reverse-Incremental Backup"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1","201.09","Incremental"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1 - Job 35 - MailDB 2013D2020-10-22T225530.vbk","4980.16","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1","4.25","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1","1.56","Incremental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1 - Job 06 - Virtual ServicesD2020-10-24T205844.vbk","60.29","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1","163.6","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1","54.95","Incremental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1 - Job 07 - SCCMD2020-10-24T210429.vbk","325.09","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1","29.52","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1","7.96","Incremental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1 - Job 08 - SQLD2020-10-24T212200.vbk","103.18","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1","216.81","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1","76.96","Incremental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1 - Job 16 - LYNCD2020-10-24T212652.vbk","253.93","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1","23.15","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1","8.39","Incremental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1 - Job 18 - SharepointD2020-10-24T231307.vbk","33.87","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 19 - Ecando","Clarion Chain 1","46.91","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 19 - Ecando","Clarion Chain 1 - Job 19 - EcandoD2020-11-01T225946.vbk","96.3","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 20 - UK1-PPC01_clone1","UK1-PPC01D2020","31.04","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 20 - UK1-PPC01_clone1","UK1-PPC01","31.32","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 36 - Telephony","Clarion Chain 1","118.35","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 36 - Telephony","Clarion Chain 1 - Job 36 - TelephonyD2020-11-01T231215.vbk","113.06","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 41 - UK1-XRDS Farm","UK1-XRDS","282.58","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 41 - UK1-XRDS Farm","UK1-XRDS","179.91","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","116.15","Reverse-Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","63.72","Incremental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","31.7","Full Backup (Seed)"
