"VeeamServer","Path","BackupType","BackupName","BackupSizeGB"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE04","1943.6"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE04D2020","1362.56"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE05","1936.17"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE05D2020","1459.44"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE07","3196.12"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE07D2020","1168.82"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE09","1202.71"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE09D2020","1316.91"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Claion Chain 1 - Job 01 - Domain ControlersD2020-10-24T200033.vbk","94.78"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1","1563.1"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1","302.43"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 02 - ManagementD2020-10-24T201324.vbk","324.68"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 03 - LOBD2020-10-24T231946.vbk","627.56"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 04 - Web SecurityD2020-10-24T203926.vbk","113.71"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","UK1-MAILAR1D2020","298.92"
"pano-veeam02","N$\Backups","Incredmental Backup","UK1-MAILAR1D2020","71.27"
"pano-veeam02","N$\Backups","Full Backup (Seed)","UK1-MAILAR1D2020","2385.44"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 14 - MailDB 2013D2020-10-24T201317.vbk","141.76"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 15 - CAS 2013D2020-10-24T210735.vbk","119.05"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 17 - RDSD2020-10-24T230048.vbk","240.25"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 33 - Business AppsD2020-10-29T231002.vbk","73.02"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","UK1-File12","26.16"
"pano-veeam02","N$\Backups","Full Backup (Seed)","UK1-File12","1747.04"
"pano-veeam02","Q$","Reverse-Incredmental Backup","Clarion Chain 1","2315.13"
"pano-veeam02","Q$","Incredmental","Clarion Chain 1","45.71"
"pano-veeam02","Q$","Full Backup (Seed)","Clarion Chain 1 - Job 09 - Mail HubD2020-10-24T213446.vbk","82.01"
"pano-veeam02","Q$","Full Backup (Seed)","Clarion Chain 1 - Job 13 - MailDB 2013D2020-10-29T222027.vbk","3587.49"
"pano-veeam02","Q$","Full Backup (Seed)","Clarion Chain 1 - Job 38 - vCenter ApplianceD2020-10-10T030040.vbk","30.1"
"pano-veeam02","Q$","Reverse-Incredmental Backup","UK1-RDS","1217.9"
"pano-veeam02","Q$","Full Backup (Seed)","UK1-RDS","713.11"
"pano-veeam02","Q$","Incredmental Backup","UK1-RDS","253.85"
"pano-veeam02","R$","Reverse-Incredmental Backup","Clarion Chain 1","2555.92"
"pano-veeam02","R$","Incredmental","Clarion Chain 1","177.09"
"pano-veeam02","R$","Full Backup (Seed)","Clarion Chain 1 - Job 35 - MailDB 2013D2020-10-22T225530.vbk","4980.16"
"pano-veeam02","S$\Backups","Reverse-Incredmental Backup","Clarion Chain 1","662.57"
"pano-veeam02","S$\Backups","Incredmental","Clarion Chain 1","95.31"
"pano-veeam02","S$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 06 - Virtual ServicesD2020-10-24T205844.vbk","60.29"
"pano-veeam02","S$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 07 - SCCMD2020-10-24T210429.vbk","325.09"
"pano-veeam02","S$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 08 - SQLD2020-10-24T212200.vbk","103.18"
"pano-veeam02","S$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 16 - LYNCD2020-10-24T212652.vbk","253.93"
"pano-veeam02","S$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 18 - SharepointD2020-10-24T231307.vbk","33.87"
