"VeeamServer","Path","BackupType","BackupName","BackupSizeGB"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE04","1943.6"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE04D2020","1379.53"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE05","1936.17"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE05D2020","1439.75"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE07","3196.12"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE07D2020","1085.15"
"pano-veeam01","G$","Full Backup (Seed)","UK1-FILE09","1202.71"
"pano-veeam01","G$","Incredmental Backup","UK1-FILE09D2020","1297.32"
"panglveeam03","E$","Incredmental Backup","UK1-FILE10","492.68"
"panglveeam03","E$","Full Backup (Seed)","UK1-FILE10","963.98"
"panglveeam03","E$","Incredmental Backup","UK1-FILE11","89.17"
"panglveeam03","E$","Full Backup (Seed)","UK1-FILE11","1490.84"
"panglveeam03","F$\Backups","Incredmental","Clarion Active Directory","546.77"
"panglveeam03","F$\Backups","Seed","Clarion Active Directory","131.18"
"panglveeam03","F$\Backups","Incredmental","FcPro","14.5"
"panglveeam03","F$\Backups","Seed","FcPro","73.43"
"panglveeam03","F$\Backups","Incredmental","FinanceApp","0.5"
"panglveeam03","F$\Backups","Seed","FinanceApp","26.54"
"panglveeam03","F$\Backups","Reverse-Incredmental Backup)","UK1-FILE01","695.93"
"panglveeam03","F$\Backups","Full Backup (Seed)","UK1-FILE01","447.7"
"panglveeam03","F$\Backups","Reverse-Incredmental Backup)","UK1-FILE02","779.53"
"panglveeam03","F$\Backups","Full Backup (Seed)","UK1-FILE02","1144.54"
"panglveeam03","F$\Backups","Reverse-Incredmental Backup)","UK1-FILE03","230.71"
"panglveeam03","F$\Backups","Full Backup (Seed)","UK1-FILE03","1541.45"
"panglveeam03","F$\Backups","Reverse-Incredmental Backup)","UK1-FILE08","62.41"
"panglveeam03","F$\Backups","Full Backup (Seed)","UK1-FILE08","1228.32"
"panglveeam03","F$\Backups","Reverse-Incredmental Backup)","UK1-FILE12","106.77"
"panglveeam03","F$\Backups","Full Backup (Seed)","UK1-FILE12","1775.33"
