"VeeamServer","Path","FolderName","BackupName","BackupSizeGB","BackupType"
"pano-veeam02","Q$","Clarion Chain 1 - Job 40 - UK1-RDS Farm","UK1-RDS","713.11","Full Backup (Seed)"
"pano-veeam02","Q$","Clarion Chain 1 - Job 40 - UK1-RDS Farm","UK1-RDS","253.85","Incredmental Backup"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1","2555.92","Reverse-Incredmental Backup"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1","177.09","Incredmental"
"pano-veeam02","R$","Clarion Chain 1 - Job 35 - MailDB 2013","Clarion Chain 1 - Job 35 - MailDB 2013D2020-10-22T225530.vbk","4980.16","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1","4.82","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1","1.17","Incredmental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 06 - Virtual Services","Clarion Chain 1 - Job 06 - Virtual ServicesD2020-10-24T205844.vbk","60.29","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1","189.09","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1","35.39","Incredmental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 07 - SCCM","Clarion Chain 1 - Job 07 - SCCMD2020-10-24T210429.vbk","325.09","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1","31.14","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1","6.09","Incredmental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 08 - SQL","Clarion Chain 1 - Job 08 - SQLD2020-10-24T212200.vbk","103.18","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1","243.6","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1","47.4","Incredmental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 16 - LYNC","Clarion Chain 1 - Job 16 - LYNCD2020-10-24T212652.vbk","253.93","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1","26.25","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1","5.26","Incredmental"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 18 - Sharepoint","Clarion Chain 1 - Job 18 - SharepointD2020-10-24T231307.vbk","33.87","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 19 - Ecando","Clarion Chain 1","46.76","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 19 - Ecando","Clarion Chain 1 - Job 19 - EcandoD2020-10-29T230222.vbk","96.3","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 20 - UK1-PPC01_clone1","UK1-PPC01D2020","34.6","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 20 - UK1-PPC01_clone1","UK1-PPC01","31.32","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 36 - Telephony","Clarion Chain 1","120.91","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 36 - Telephony","Clarion Chain 1 - Job 36 - TelephonyD2020-10-29T231641.vbk","113.06","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 41 - UK1-XRDS Farm","UK1-XRDS","299.82","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 41 - UK1-XRDS Farm","UK1-XRDS","179.75","Full Backup (Seed)"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","135.56","Reverse-Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","44.87","Incredmental Backup"
"pano-veeam02","S$\Backups","Clarion Chain 1 - Job 43 - UK1-EXCHDAG-SystemDisk","UK1-EXCHDAG","31.7","Full Backup (Seed)"
"panglveeam03","E$","UK1-FILE10 -4hr","UK1-FILE10","485.57","Incredmental Backup"
"panglveeam03","E$","UK1-FILE10 -4hr","UK1-FILE10","963.98","Full Backup (Seed)"
"panglveeam03","E$","UK1-FILE11 -4hr","UK1-FILE11","90","Incredmental Backup"
"panglveeam03","E$","UK1-FILE11 -4hr","UK1-FILE11","1490.84","Full Backup (Seed)"
"panglveeam03","F$\Backups","Clarion Active Directory","Clarion Active Directory","565.53","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","Clarion Active Directory","Clarion Active Directory","131.18","Full Backup (Seed)"
"panglveeam03","F$\Backups","FcPro","FcPro","14.42","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","FcPro","FcPro","73.43","Full Backup (Seed)"
"panglveeam03","F$\Backups","FinanceApp","FinanceApp","0.5","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","FinanceApp","FinanceApp","26.54","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE01 - 4hr","UK1-FILE01","678.94","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE01 - 4hr","UK1-FILE01","447.7","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE02 - 4hr","UK1-FILE02","781.17","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE02 - 4hr","UK1-FILE02","1144.54","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE03 - 4hr","UK1-FILE03","230.96","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE03 - 4hr","UK1-FILE03","1541.45","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE08","UK1-FILE08","63.32","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE08","UK1-FILE08","1228.37","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE12 - 4hr","UK1-FILE12","98.15","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE12 - 4hr","UK1-FILE12","1761.19","Full Backup (Seed)"
"panglveeam03","F$\Backups","UK1-FILE12 System disk -4hr","UK1-FILE12","10.45","Reverse-Incredmental Backup"
"panglveeam03","F$\Backups","UK1-FILE12 System disk -4hr","UK1-FILE12","14.14","Full Backup (Seed)"
